ID,Content,Polarity
768213567418036224,"@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el ""cómetelo"" ahí JAJAJAJA",NEG
768221670255493120,Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps ,POS
768221021300264964,Vale he visto la tia bebiendose su regla y me hs dado muchs grima ,NEG
768220253730009091,@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal ,POS
768231229439311872,@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso,NEG
768231166965145600,"@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora ",NEG
768224471127826432,@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que ,NEG
768223146868703232,@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... ,NEG
768228580673347584,Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar,NEG
768228346232729603,"@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",NEG
768018934385807360,"Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará ",NEU
768055768700575744,"@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt ",POS
768065433362726912,@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir ,NEG
768064453246128128,@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,POS
768063661541851137,@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres ,NEG
768059359934943233,.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! ,NEG
768057277865717761,"Confirmao tengo el pie roto, he notado como el puto hueso se movía ",NEG
768074230541975553,@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! ,POS
768071942096166912,"@Jordicanal64 Pues si no fichan ""lo que sea"" además de un ridículo espantoso igual QSF nos deja plantados...esperemos que no   ",NEG
768083732356075520,"@edu_rnieves Te la recomiendo, parece monótona pero hay capítulos que vuelven a subir el interés ",POS
768082578519785472,Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía. ,NEG
768497346342772737,@futbolero93 solo recuerda que Iman es tranquila ,POS
768557093955698688,"comprendo que te molen mis tattoos, pero no te los hagas 'iguales' ",NEU
768512386269638656,@morbosaborealis jajajaja... eso es verdad... aquí no hay uno cuerdo ,NEG
768511417846730753,@xqwcrp @xoancarV Un lapsus advertido gracias a @Cascarelo y subsanado. Gracias por tu aportación. ,POS
768530671132352513,@IvnLz el resto puedo dudar pero de ese grupo lo tengo claro ,NEU
768530491104497664,@Pirata__Roberts hay gente muy buena trabajando duro en @SpheraSports. Palabras así impulsan  @Eliperezup,POS
768529956162924544,@Adriansoler espero y deseo que el interior te cause lo mismo ,NEU
768529333493391360,"@FaranduleroYo Pues espero que no lo digas por mi niña o no voto mas  memeo, bueno cada uno tendra su opinion +",NEG
768529047878004736,"@GarbiMuguruza Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos. ",POS
768562609029255168,@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,NEG
768562544239927296,Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales ,NEG
768562234582851584,Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!,NEG
768561417037512705,Yo Me cago En los muertos De todas Las bacterias malignas De mi Garganta.,NEG
768559589470117889,@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita ,NEG
768564864117866496,@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules ,POS
768564709712883713,"@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio ",NEG
768544186853359616,"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",NEG
768543848742150144,@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj),NEG
768566966906974208,"@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no? ",NEG
768566746773159936,@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!! ,POS
768510568642842628,"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",POS
768526478720065536,#Otegi inhabilitado #EsLaSentencia Mujeres tapadas hasta los ojos #EsSuCultura Teneis un sentido inamovible del mundo y de la vida.,NEG
768524445657001988,"@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente ",POS
768549166729555969,"Madrid está lleno de comida y crushes, no me llevéis de aquí ",NEG
768547980924293120,@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este ,NEG
768528725545742336,"Es worth para coger el bonus, pero es mucho más divertido luchar ",NEU
768547709519294464,@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede ,NEG
768547351443169284,"@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz ",NEU
768521914704887808,@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!! ,POS
768546051112443904,"@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista ",NEU
768545629522067456,Dio tener un perro es la ilusión de mi puta vida ,POS
768544990595284992,@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos ,NEG
768591525773189120,Por qué me gusta más tu personalidad que cualquier espalda ancha ,POS
768591189746548736,@SergioSmiles Mirate D gray-man desde cero puta ,NEG
768590604326539264,"@BerothW Por supuesto, en el Mercadona. Hombre, encima que soy crush de alguien ",NEU
768589770062753792,hay alguien apuntando a mi ventana con un laser define pesadito ,NEG
768586174470455296,No entiendo de verdad porque la gente cree que en realidad me la suda ,NEG
